SampID,control_YN,Site,Plant_species,Site_lat,Site_long,Site_elevation,Site_invasion_level,Soil_type,Plant_rep_ID,Plant_rep_group,dist_from_vetch_m,Weighted_NODF,NODF,NODFc,Mean_Seed_Mass,Mean_Total_Seeds,Ratio_250_Log,Ind_Nestedness_Contribution,Pollinator_Richness,Pollinator_Abundance,Native_Pollinator_Abundance,Honeybee_Abundance,Bombus_Abundance,Network_Plant_Richness,Site_Plant_Richness,Mean_Floral_Abundance
Q_T_5_10,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,10,2,5,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_T_5_15,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,15,3,5,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_T_10_1,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,1,1,10,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_T_10_7,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,7,2,10,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_T_10_12,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,12,3,10,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_T_10_15,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,15,4,10,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_V_2,no,Quarry,Vetch,385154.63,1223531.77,2247,Medium,Nonserpentine,2,1,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,-0.7802166,7,22,15,7,0,21,36,532.5
Q_V_14,no,Quarry,Vetch,385154.63,1223531.77,2247,Medium,Nonserpentine,14,2,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,-0.7802166,7,22,15,7,0,21,36,532.5
R_T_0_9,no,Rock,Clover,384939.52,1222043.84,1498,High,Serptentine,9,1,0,17.83504,38.56153,2.268061,0.0041,1.64,3.86,1.089378,9,95,18,77,8,7,22,358.7143
R_T_1_1,no,Rock,Clover,384939.52,1222043.84,1498,High,Serptentine,1,1,1,17.83504,38.56153,2.268061,0.0041,1.64,3.86,1.089378,9,95,18,77,8,7,22,358.7143
